25,27,28,25,26,20
24,27,29,27,25,25
24,26,27,26,27,24
25,26,25,28,28,23
21,26,25,27,29,25
20,29,25,25,26,25
18,28,26,25,25,25
22,28,24,25,26,25
25,18,26,27,29,26
23,26,26,26,28,26
18,26,22,22,23,15
5,20,19,27,23,16
11,1,14,14,22,1
13,23,23,19,25,27
20,25,23,20,24,26
1,1,17,14,22,6
24,27,23,25,24,23
28,28,28,25,28,26
19,25,10,12,15,12
14,21,10,22,12,13
27,14,25,25,26,15
29,30,25,28,28,26
29,30,27,30,29,30
31,32,29,30,29,30
29,31,29,31,29,29
29,31,26,28,27,27
23,30,29,27,27,26
28,31,27,28,28,28
31,33,29,31,30,30
31,33,29,30,31,31
30,34,31,31,30,32
32,32,28,29,30,31
30,31,28,30,30,30
28,30,23,24,23,25
31,28,29,29,28,29
30,33,29,31,29,28
31,32,30,30,30,29
31,33,31,30,29,30
32,32,28,29,29,29
31,33,29,28,29,30
29,30,26,28,28,27
29,34,27,28,27,27
27,29,27,27,29,28
30,29,28,28,29,29
27,30,29,27,28,29
28,30,26,26,26,28
29,31,24,26,26,26
31,32,29,28,28,28
26,27,25,26,26,26
26,26,27,25,25,22
28,29,27,27,26,26
32,32,26,30,27,27
